Platform,File Sys,App,API,R/W,I/O Time(s),I/O b/w (MiB/s),Total Bytes,Start,End,Job ID
edison,scratch1,IOR,MPIIO,write,70.366271,7450.842411,549755813888,1487093380,1487093516,3902162
edison,scratch2,IOR,MPIIO,write,31.339234,16729.445336,549755813888,1487093381,1487093424,3902163
edison,scratch2,IOR,POSIX,write,75.574266,27749.551608,2199023255552,1487093439,1487093515,3902163
edison,scratch1,IOR,POSIX,write,74.719205,28067.107995,2199023255552,1487093529,1487093605,3902162
edison,scratch2,IOR,MPIIO,read,27.46421,19089.863079,549755813888,1487093534,1487093573,3902163
edison,scratch2,IOR,POSIX,read,52.725028,39775.265894,2199023255552,1487093586,1487093640,3902163
edison,scratch1,IOR,MPIIO,read,32.36141,16201.024664,549755813888,1487093625,1487093690,3902162
edison,scratch2,HACC-IO,GLEAN,write,76.022958,28232.313997,2250562879488,1487093659,1487093736,3902163
edison,scratch1,IOR,POSIX,read,53.87037,38929.601054,2199023255552,1487093700,1487093755,3902162
edison,scratch2,HACC-IO,GLEAN,read,56.163565,38215.238272,2250562879488,1487093755,1487093812,3902163
edison,scratch1,HACC-IO,GLEAN,write,80.188223,26765.825853,2250562879488,1487093774,1487093855,3902162
edison,scratch2,VPIC-IO,H5Part,write,89.116588,23532.678355,2199023259968,1487093831,1487093970,3902163
edison,scratch1,HACC-IO,GLEAN,read,69.596896,30839.076650,2250562879488,1487093875,1487093945,3902162
edison,scratch1,VPIC-IO,H5Part,write,76.953474,27252.207171,2199023259968,1487093963,1487094074,3902162
edison,scratch2,BD-CATS-IO,H5Part,read,78.058018,20150.223736,1649291067392,1487093988,1487094071,3902163
edison,scratch1,BD-CATS-IO,H5Part,read,81.714719,19248.509375,1649291067392,1487094096,1487094189,3902162
edison,scratch3,IOR,MPIIO,write,20.958835,25015.131271,549755813888,1487094101,1487094144,3902164
edison,scratch3,IOR,POSIX,write,47.035642,44586.443477,2199023255552,1487094157,1487094205,3902164
edison,scratch3,IOR,MPIIO,read,23.937531,21902.342180,549755813888,1487094225,1487094287,3902164
edison,scratch3,IOR,POSIX,read,35.749035,58663.178487,2199023255552,1487094298,1487094335,3902164
edison,scratch3,HACC-IO,GLEAN,write,43.276063,49595.639449,2250562879488,1487094353,1487094397,3902164
edison,scratch3,HACC-IO,GLEAN,read,38.549443,55676.654401,2250562879488,1487094417,1487094457,3902164
edison,scratch3,VPIC-IO,H5Part,write,97.200327,21575.565284,2199023259968,1487094474,1487094619,3902164
edison,scratch3,BD-CATS-IO,H5Part,read,52.470491,29976.592348,1649291067392,1487094637,1487094698,3902164
