,# platform,file_sys,app,api,rw,io_time,agg_perf_by_slowest,total_bytes,total_opens,total_rws,start_time,end_time,jobid,ggio_bytes_read,ggio_bytes_written,ggio_opens,ggio_closes,ggio_read_reqs,ggio_write_reqs,ggio_read_dirs,ggio_inoded_updates
0,mira,mira-fs1,IOR,MPIIO,write,71.020373,14764.439424,1099511627776,32769,66560,1487112035,1487112142,1024637,,,,,,,,
1,mira,mira-fs1,IOR,POSIX,write,78.061877,13432.625982,1099511627776,16384,262144,1487112149,1487112229,1024637,,,,,,,,
2,mira,mira-fs1,HACC-IO,GLEAN,write,164.332462,15154.379188,2611327991808,32768,163840,1487112236,1487112402,1024637,,,,,,,,
3,mira,mira-fs1,IOR,MPIIO,read,109.217894,9600.771057,1099511627776,32768,66560,1487112475,1487112619,1024637,,,,,,,,
4,mira,mira-fs1,IOR,POSIX,read,53.447012,19618.982597,1099511627776,16384,262144,1487112626,1487112688,1024637,,,,,,,,
5,mira,mira-fs1,HACC-IO,GLEAN,read,211.364856,11782.263558,2611327991808,32768,163840,1487112695,1487112907,1024637,,,,,,,,
6,mira,mira-fs1,IOR,MPIIO,write,84.427781,12419.798237,1099511627776,32769,66560,1487192473,1487192583,1025514,,,,,,,,
7,mira,mira-fs1,IOR,POSIX,write,73.750406,14217.901451,1099511627776,16384,262144,1487192590,1487192666,1025514,,,,,,,,
8,mira,mira-fs1,HACC-IO,GLEAN,write,232.252981,10722.602691,2611327991808,32768,163840,1487192673,1487192908,1025514,,,,,,,,
9,mira,mira-fs1,IOR,MPIIO,read,88.645054,11828.928442,1099511627776,32768,66560,1487192980,1487193088,1025514,,,,,,,,
10,mira,mira-fs1,IOR,POSIX,read,57.135247,18352.524184,1099511627776,16384,262144,1487193095,1487193172,1025514,,,,,,,,
11,mira,mira-fs1,HACC-IO,GLEAN,read,132.398948,18809.488047,2611327991808,32768,163840,1487193179,1487193313,1025514,,,,,,,,
12,mira,mira-fs1,IOR,MPIIO,write,73.361794,14293.216385,1099511627776,32769,66560,1487281875,1487281983,1026386,,,,,,,,
13,mira,mira-fs1,IOR,POSIX,write,71.392844,14687.410494,1099511627776,16384,262144,1487281989,1487282063,1026386,,,,,,,,
14,mira,mira-fs1,HACC-IO,GLEAN,write,166.959379,14915.942132,2611327991808,32768,163840,1487282070,1487282238,1026386,,,,,,,,
15,mira,mira-fs1,IOR,MPIIO,read,81.403438,12881.224915,1099511627776,32768,66560,1487282306,1487282418,1026386,,,,,,,,
16,mira,mira-fs1,IOR,POSIX,read,52.271622,20060.138846,1099511627776,16384,262144,1487282424,1487282492,1026386,,,,,,,,
17,mira,mira-fs1,HACC-IO,GLEAN,read,129.133094,19285.191418,2611327991808,32768,163840,1487282499,1487282629,1026386,,,,,,,,
18,mira,mira-fs1,IOR,MPIIO,write,67.870198,15449.726608,1099511627776,32769,66560,1487370688,1487370783,1027273,,,,,,,,
19,mira,mira-fs1,IOR,POSIX,write,73.327834,14299.835928,1099511627776,16384,262144,1487370790,1487370866,1027273,,,,,,,,
20,mira,mira-fs1,IOR,MPIIO,write,71.769138,14610.402641,1099511627776,32769,66560,1487450557,1487450658,1027936,,,,,,,,
21,mira,mira-fs1,IOR,POSIX,write,71.865819,14590.747297,1099511627776,16384,262144,1487450665,1487450739,1027936,,,,,,,,
22,mira,mira-fs1,HACC-IO,GLEAN,write,92.380251,17025.979446,1649267703808,32768,163840,1487450746,1487450839,1027936,,,,,,,,
23,mira,mira-fs1,IOR,MPIIO,read,77.004719,13617.035522,1099511627776,32768,66560,1487450939,1487451051,1027936,,,,,,,,
24,mira,mira-fs1,IOR,POSIX,read,52.987409,19789.1542,1099511627776,16384,262144,1487451057,1487451130,1027936,,,,,,,,
25,mira,mira-fs1,HACC-IO,GLEAN,read,486.533503,3232.797414,1649267703808,32768,163840,1487451137,1487451625,1027936,,,,,,,,
