data?,disk_name,disk_size,failure_group,free_kib_blocks,free_kib_frags,metadata?,file_system,date
0.0,ddn44_SSD_112,184549376.0,44.0,61595456.0,618006.0,1.0,mira-fs1,2017-01-25
0.0,ddn45_SSD_112,184549376.0,45.0,61592000.0,612716.0,1.0,mira-fs1,2017-01-25
0.0,ddn46_SSD_112,184549376.0,46.0,61582208.0,613662.0,1.0,mira-fs1,2017-01-25
0.0,ddn47_SSD_112,184549376.0,47.0,61584128.0,622920.0,1.0,mira-fs1,2017-01-25
0.0,ddn48_SSD_112,184549376.0,48.0,61587072.0,619310.0,1.0,mira-fs1,2017-01-25
0.0,ddn49_SSD_112,184549376.0,49.0,61590848.0,615178.0,1.0,mira-fs1,2017-01-25
1.0,ddn44_SATA_000,22775070720.0,44.0,8632082432.0,346764288.0,0.0,mira-fs1,2017-01-25
1.0,ddn44_SATA_001,22775070720.0,44.0,8639225856.0,345517824.0,0.0,mira-fs1,2017-01-25
1.0,ddn44_SATA_002,22775070720.0,44.0,8634245120.0,345000448.0,0.0,mira-fs1,2017-01-25
1.0,ddn44_SATA_003,22775070720.0,44.0,8630337536.0,346992896.0,0.0,mira-fs1,2017-01-25
1.0,ddn44_SATA_004,22775070720.0,44.0,8630493184.0,343514880.0,0.0,mira-fs1,2017-01-25
1.0,ddn44_SATA_005,22775070720.0,44.0,8630632448.0,344782080.0,0.0,mira-fs1,2017-01-25
1.0,ddn44_SATA_006,22775070720.0,44.0,8627126272.0,346418688.0,0.0,mira-fs1,2017-01-25
1.0,ddn44_SATA_007,22775070720.0,44.0,8627929088.0,346020608.0,0.0,mira-fs1,2017-01-25
1.0,ddn44_SATA_008,22775070720.0,44.0,8632287232.0,345369856.0,0.0,mira-fs1,2017-01-25
1.0,ddn44_SATA_009,22775070720.0,44.0,8636497920.0,343194880.0,0.0,mira-fs1,2017-01-25
1.0,ddn44_SATA_010,22775070720.0,44.0,8637644800.0,345006848.0,0.0,mira-fs1,2017-01-25
1.0,ddn44_SATA_011,22775070720.0,44.0,8632745984.0,345397504.0,0.0,mira-fs1,2017-01-25
1.0,ddn44_SATA_012,22775070720.0,44.0,8634810368.0,345765888.0,0.0,mira-fs1,2017-01-25
1.0,ddn44_SATA_013,22775070720.0,44.0,8637210624.0,345064704.0,0.0,mira-fs1,2017-01-25
1.0,ddn44_SATA_014,22775070720.0,44.0,8634351616.0,344136448.0,0.0,mira-fs1,2017-01-25
1.0,ddn44_SATA_015,22775070720.0,44.0,8634253312.0,346569984.0,0.0,mira-fs1,2017-01-25
1.0,ddn44_SATA_016,22775070720.0,44.0,8633556992.0,344567808.0,0.0,mira-fs1,2017-01-25
1.0,ddn44_SATA_017,22775070720.0,44.0,8628289536.0,345680896.0,0.0,mira-fs1,2017-01-25
1.0,ddn44_SATA_018,22775070720.0,44.0,8621637632.0,345769472.0,0.0,mira-fs1,2017-01-25
1.0,ddn44_SATA_019,22775070720.0,44.0,8626257920.0,345382656.0,0.0,mira-fs1,2017-01-25
1.0,ddn44_SATA_020,22775070720.0,44.0,8630984704.0,346153472.0,0.0,mira-fs1,2017-01-25
1.0,ddn44_SATA_021,22775070720.0,44.0,8623808512.0,347927552.0,0.0,mira-fs1,2017-01-25
1.0,ddn44_SATA_022,22775070720.0,44.0,8629190656.0,347195648.0,0.0,mira-fs1,2017-01-25
1.0,ddn44_SATA_023,22775070720.0,44.0,8624267264.0,348236032.0,0.0,mira-fs1,2017-01-25
1.0,ddn44_SATA_024,22775070720.0,44.0,8630640640.0,344559360.0,0.0,mira-fs1,2017-01-25
1.0,ddn44_SATA_025,22775070720.0,44.0,8625176576.0,344604160.0,0.0,mira-fs1,2017-01-25
1.0,ddn44_SATA_026,22775070720.0,44.0,8629280768.0,345192448.0,0.0,mira-fs1,2017-01-25
1.0,ddn44_SATA_027,22775070720.0,44.0,8627896320.0,343819520.0,0.0,mira-fs1,2017-01-25
1.0,ddn44_SATA_028,22775070720.0,44.0,8630517760.0,344148480.0,0.0,mira-fs1,2017-01-25
1.0,ddn44_SATA_029,22775070720.0,44.0,8627863552.0,344524032.0,0.0,mira-fs1,2017-01-25
1.0,ddn44_SATA_030,22775070720.0,44.0,8619008000.0,345647104.0,0.0,mira-fs1,2017-01-25
1.0,ddn44_SATA_031,22775070720.0,44.0,8629051392.0,345497344.0,0.0,mira-fs1,2017-01-25
1.0,ddn44_SATA_032,22775070720.0,44.0,8631246848.0,344914176.0,0.0,mira-fs1,2017-01-25
1.0,ddn44_SATA_033,22775070720.0,44.0,8624283648.0,345259264.0,0.0,mira-fs1,2017-01-25
1.0,ddn44_SATA_034,22775070720.0,44.0,8632565760.0,345276160.0,0.0,mira-fs1,2017-01-25
1.0,ddn44_SATA_035,22775070720.0,44.0,8632066048.0,344866304.0,0.0,mira-fs1,2017-01-25
1.0,ddn44_SATA_036,22775070720.0,44.0,8626782208.0,344898816.0,0.0,mira-fs1,2017-01-25
1.0,ddn44_SATA_037,22775070720.0,44.0,8630484992.0,344706560.0,0.0,mira-fs1,2017-01-25
1.0,ddn44_SATA_038,22775070720.0,44.0,8639291392.0,342123264.0,0.0,mira-fs1,2017-01-25
1.0,ddn44_SATA_039,22775070720.0,44.0,8645525504.0,342556416.0,0.0,mira-fs1,2017-01-25
1.0,ddn44_SATA_040,22775070720.0,44.0,8628789248.0,345242368.0,0.0,mira-fs1,2017-01-25
1.0,ddn44_SATA_041,22775070720.0,44.0,8634228736.0,344692480.0,0.0,mira-fs1,2017-01-25
1.0,ddn44_SATA_042,22775070720.0,44.0,8638799872.0,344761600.0,0.0,mira-fs1,2017-01-25
1.0,ddn44_SATA_043,22775070720.0,44.0,8631664640.0,344482304.0,0.0,mira-fs1,2017-01-25
1.0,ddn44_SATA_044,22775070720.0,44.0,8630968320.0,346187264.0,0.0,mira-fs1,2017-01-25
1.0,ddn44_SATA_045,22775070720.0,44.0,8634097664.0,344726528.0,0.0,mira-fs1,2017-01-25
1.0,ddn44_SATA_046,22775070720.0,44.0,8637079552.0,344281600.0,0.0,mira-fs1,2017-01-25
1.0,ddn44_SATA_047,22775070720.0,44.0,8634023936.0,345979136.0,0.0,mira-fs1,2017-01-25
1.0,ddn44_SATA_048,22775070720.0,44.0,8635006976.0,344546304.0,0.0,mira-fs1,2017-01-25
1.0,ddn44_SATA_049,22775070720.0,44.0,8633368576.0,344332288.0,0.0,mira-fs1,2017-01-25
1.0,ddn44_SATA_050,22775070720.0,44.0,8630353920.0,343946752.0,0.0,mira-fs1,2017-01-25
1.0,ddn44_SATA_051,22775070720.0,44.0,8638152704.0,344815360.0,0.0,mira-fs1,2017-01-25
1.0,ddn44_SATA_052,22775070720.0,44.0,8632885248.0,344675328.0,0.0,mira-fs1,2017-01-25
1.0,ddn44_SATA_053,22775070720.0,44.0,8639406080.0,344707072.0,0.0,mira-fs1,2017-01-25
1.0,ddn44_SATA_054,22775070720.0,44.0,8636268544.0,346151168.0,0.0,mira-fs1,2017-01-25
1.0,ddn44_SATA_055,22775070720.0,44.0,8641937408.0,344539648.0,0.0,mira-fs1,2017-01-25
1.0,ddn45_SATA_000,22775070720.0,45.0,8653479936.0,343661312.0,0.0,mira-fs1,2017-01-25
1.0,ddn45_SATA_001,22775070720.0,45.0,8646762496.0,342955008.0,0.0,mira-fs1,2017-01-25
1.0,ddn45_SATA_002,22775070720.0,45.0,8640806912.0,343521536.0,0.0,mira-fs1,2017-01-25
