darshan_agg_perf_by_slowest,darshan_api,darshan_api_mpiio?,darshan_app,darshan_end_time,darshan_file_system,darshan_io_time,darshan_jobid,darshan_start_time,darshan_total_bytes,darshan_total_gibs,darshan_walltime,darshan_write_mode?,job_avg_radius,job_concurrent_jobs,job_max_radius,job_min_radius,lmt_bytes_covered,lmt_frac_missing,lmt_frac_zeros,lmt_mds_ave,lmt_mds_max,lmt_ops_closes,lmt_ops_getattrs,lmt_ops_getxattrs,lmt_ops_mkdirs,lmt_ops_opens,lmt_ops_renames,lmt_ops_rmdirs,lmt_ops_setattrs,lmt_ops_unlinks,lmt_oss_ave,lmt_oss_max,lmt_tot_bytes_read,lmt_tot_bytes_write,lmt_tot_missing,lmt_tot_zeros,ost_avg_bad_ost_per_oss,ost_avg_bad_overload_factor,ost_avg_kib,ost_avg_pct,ost_bad_oss_count,ost_bad_ost_count,ost_bad_pct,ost_count,ost_failures_lead_secs,ost_fullness_lead_secs,ost_max_id,ost_max_kib,ost_max_name,ost_max_pct,ost_min_id,ost_min_kib,ost_min_name,ost_min_pct
0,19248.509375,H5Part,1,BD-CATS-IO,1487094189,scratch1,81.714719,3902162,1487094096,1649291067392,1536.02200317,93,0,3.8657539851,1621,8.7278318515,0.45420130793,0.895724279581,0.0,0.0,1.33128394737,2.19656,36723.0,61210.0,18.0,0.0,41924.0,8.0,0.0,310.0,51.0,5.86954732456,21.2386,1.83765521613e+12,3638031123.0,0,0,0.0,1.0,55652316749,61.3129412517,0,0,0.0,24,693,693,7,61346967116,OST0007,67.5868177729,8,51048238884,OST0008,56.2405638172
1,20150.223736,H5Part,1,BD-CATS-IO,1487094071,scratch2,78.058018,3902163,1487093988,1649291067392,1536.02200317,83,0,4.0500807343,1625,8.50348905873,0.429332239501,0.955914689595,0.0,0.0,1.540745,3.69721,15716.0,7570.0,165.0,58.0,66326.0,1.0,0.0,1414.0,3405.0,5.52302799537,16.0516,1.70804532838e+12,17308498002.0,0,0,2.0,2.0,52113391902,57.4140579003,1,2,8.33333333333,24,585,585,6,60256225612,OST0006,66.3851324943,14,49856486992,OST000e,54.9275939714
2,29976.592348,H5Part,1,BD-CATS-IO,1487094698,scratch3,52.470491,3902164,1487094637,1649291067392,1536.02200317,61,0,4.0500807343,1612,8.50348905873,0.429332239501,0.98230282783,0.0,1.06837606838,0.754826846154,2.19491,8482.0,1507.0,36.0,0.0,12930.0,36.0,0.0,111.0,0.0,5.16335994017,12.1982,1.67809431552e+12,910387170.0,0,5,0.0,1.0,76470689452,84.2488356953,0,0,0.0,36,335,335,19,78395060600,OST0013,86.3689424947,30,75325257224,OST001e,82.9868968757
3,21154.277309,H5Part,1,BD-CATS-IO,1487107137,scratch1,74.353121,3904444,1487107057,1649291067392,1536.02200317,80,0,4.3281548361,1355,8.15264602488,0.68237614776,0.974537032711,0.245098039216,0.245098039216,1.45084505882,4.00703,14312.0,6317.0,225.0,43.0,44742.0,105.0,0.0,354.0,49.0,5.84000585539,12.7385,1.68850882837e+12,3875362305.12,1,1,0.0,1.0,55594327568,61.2490537542,0,0,0.0,24,1954,1954,7,61314976304,OST0007,67.5515730447,8,50974005120,OST0008,56.1587794338
4,19336.092749,H5Part,1,BD-CATS-IO,1487107071,scratch2,81.34459,3904445,1487106983,1649291067392,1536.02200317,88,0,3.78209245009,1350,8.11059420026,0.178152410172,0.9456921851,0.0,0.0,1.57054547368,3.20432,33247.0,22015.0,1883.0,525.0,39600.0,4.0,0.0,1353.0,524.0,5.56597402851,14.2767,1.72445295411e+12,19551166232.0,0,0,2.0,2.0,52131965679,57.4345208921,1,2,8.33333333333,24,1880,1880,6,60210379908,OST0006,66.3346236365,3,49751185212,OST0003,54.8115815171
5,30468.410659,H5Part,1,BD-CATS-IO,1487107668,scratch3,51.623518,3904446,1487107590,1649291067392,1536.02200317,78,0,3.78209245009,1406,8.11059420026,0.178152410172,0.979628770129,0.0,9.20138888889,0.721713125,2.08255,2272.0,9697.0,18.0,220.0,3900.0,16.0,30.0,65.0,2.0,4.78116315104,13.7417,1.68312335565e+12,464466272.0,0,53,0.0,1.0,76422811136,84.1960874801,0,0,0.0,36,255,255,19,78346998044,OST0013,86.3159912998,30,75276340804,OST001e,82.9330049668
6,18422.42611,H5Part,1,BD-CATS-IO,1487122927,scratch1,42.690063,3906633,1487122878,824657346560,768.022003174,49,0,3.76926793411,1625,7.84474595271,0.20009763242,0.966107059299,0.0,0.0,4.28496727273,5.28173,78846.0,127453.0,17894.0,1.0,79632.0,16.0,0.0,484.0,10.0,5.27058363636,12.1109,8.5071661056e+11,2871341854.0,0,0,0.0,1.0,55656707565,61.3177786755,0,0,0.0,24,675,675,7,61378490480,OST0007,67.621547507,8,51010249352,OST0008,56.1987102147
7,20072.876722,H5Part,1,BD-CATS-IO,1487123121,scratch2,39.179961,3906634,1487123079,824657346560,768.022003174,42,0,6.84922224731,1627,10.8342672875,2.93791552912,0.9385047395,2.5,2.08333333333,3.265658,4.26147,13678.0,10918.0,137.0,73.0,14866.0,21.0,0.0,525.0,27.0,5.292867325,14.9128,8.65595555217e+11,13097233270.5,6,5,2.0,2.0,52401596615,57.7315770921,1,2,8.33333333333,24,876,876,6,60566916804,OST0006,66.7274253568,3,49981360396,OST0003,55.0651687595
8,30373.571959,H5Part,1,BD-CATS-IO,1487123413,scratch3,25.892725,3906635,1487123367,824657346560,768.022003174,46,0,3.76926793411,1630,7.84474595271,0.20009763242,0.97817791093,0.0,19.4444444444,1.0013078,1.75659,2111.0,3159.0,762.0,0.0,2251.0,12.0,0.0,36.0,0.0,4.20598009444,14.0765,8.42682990592e+11,371567628.0,0,70,0.0,1.0,76500508717,84.2816879995,0,0,0.0,36,264,264,19,78424785484,OST0013,86.4016908181,30,75354266808,OST001e,83.018857143
9,20257.849657,H5Part,1,BD-CATS-IO,1487192247,scratch1,77.643312,3930036,1487192164,1649291067392,1536.02200317,83,0,4.28346117134,1182,7.68931793799,1.7986065027,0.970983162378,0.462962962963,0.231481481481,6.54991611111,9.94264,186447.0,331042.0,797.0,172.0,244009.0,161.0,2.0,1093.0,189.0,5.76997231713,12.7737,1.68578831838e+12,12790123860.5,2,1,0.0,1.0,55965754485,61.6582600204,0,0,0.0,24,661,661,7,61658592152,OST0007,67.9301394644,8,51277070536,OST0008,56.4926708714
